,Volatility
MMM,0.018164614611972305
AOS,0.02057241063449849
ABT,0.018908436283405626
ABBV,0.016824361747100877
ACN,0.020631520367250977
ADBE,0.02638184473845422
AMD,0.034942925463323934
AES,0.027163058949167537
AFL,0.02387913852078502
A,0.019939236698311154
APD,0.020527689519478295
ABNB,0.036209537303595246
AKAM,0.019987398968140318
ALB,0.03429377190762521
ARE,0.020225827109953704
ALGN,0.03625836220412987
ALLE,0.022040749525349713
LNT,0.01797429755449696
ALL,0.020651082776770868
GOOGL,0.02175799531479333
GOOG,0.02165989948294267
MO,0.017889278120446602
AMZN,0.024613575347879748
AMCR,0.021318934744772658
AEE,0.018800738581897184
AEP,0.01747435725595851
AXP,0.028209978001732413
AIG,0.030719419542560078
AMT,0.02104728331912167
AWK,0.01988879709741938
AMP,0.02981000451019303
AME,0.02039540694829893
AMGN,0.017499430657544765
APH,0.01996230651311468
ADI,0.02470908142960736
ANSS,0.025309919191931513
AON,0.01953959305894188
APA,0.057249771002663416
AAPL,0.02323983968435636
AMAT,0.03268116916236424
APTV,0.03529387624870707
ACGL,0.024733919121856206
ADM,0.019976025843962478
ANET,0.02644061406084603
AJG,0.01900495541788622
AIZ,0.022267847363056193
T,0.017812529774613017
ATO,0.01872065534908885
ADSK,0.02821318781943051
ADP,0.020526691445319732
AZO,0.02052847077840975
AVB,0.022100988964146022
AVY,0.02304213213937818
AXON,0.034484957089773394
BKR,0.03340293789192331
BALL,0.0225880871647633
BAC,0.02601589190006569
BK,0.023112505212449407
BBWI,0.04363909856141144
BAX,0.018705624615000707
BDX,0.017327858073605262
BBY,0.027826956334639153
TECH,0.023709196096616453
BIIB,0.03356447141127485
BLK,0.02339938592094097
BX,0.029358041456286725
BA,0.03843615850094816
BKNG,0.027209233282823705
BWA,0.025947246057486946
BSX,0.020871264141299112
BMY,0.014627116601480495
AVGO,0.025513194407360527
BR,0.018580020202514595
BRO,0.019663914485515428
BLDR,0.03786630434944221
BG,0.02358534795100306
BXP,0.025752959144569446
CHRW,0.0191785331733519
CDNS,0.02542261790734196
CZR,0.056826862641687514
CPT,0.020980483515940982
CPB,0.01664787088887212
COF,0.032814237440920005
CAH,0.021683182106331148
KMX,0.03159760792657142
CCL,0.056384380979445266
CARR,0.026650217625782072
CTLT,0.02998533235580457
CAT,0.022451590488577998
CBOE,0.020766865701408774
CBRE,0.02775299296548415
CDW,0.023247859427348052
CE,0.02646345356763562
COR,0.01935269692567379
CNC,0.025323536604990014
CNP,0.024580606595995997
CF,0.031006665435940325
CRL,0.026774488553994634
SCHW,0.025806991562580883
CHTR,0.02174419300295641
CVX,0.02700173055471034
CMG,0.025220852857967654
CB,0.021429493410824542
CHD,0.016166646059039343
CI,0.023670624049042525
CINF,0.0263033628897421
CTAS,0.023173794165765364
CSCO,0.0199663000737042
C,0.02899064799778098
CFG,0.033083396033819386
CLX,0.01885660103204502
CME,0.021262688343020874
CMS,0.01770452932253134
KO,0.015584125998671617
CTSH,0.023135449787678068
CL,0.014684164499073485
CMCSA,0.01976831134498083
CAG,0.016928821157632164
COP,0.03349128340903299
ED,0.018044063040359038
STZ,0.020126555503131263
CEG,0.029498744274912718
COO,0.020778199339174592
CPRT,0.022092386892256233
GLW,0.02378363806396144
CPAY,0.025208330746119043
CTVA,0.023466215865019475
CSGP,0.02492997819817571
COST,0.017056119384667626
CTRA,0.02907272034036619
CRWD,0.03818150231790548
CCI,0.020458497811547672
CSX,0.02125389564208856
CMI,0.020566508951466153
CVS,0.019016214395595712
DHR,0.019361634756346058
DRI,0.03439149263562997
DVA,0.025044426382067653
DAY,0.03317786624120891
DECK,0.0309197814643597
DE,0.023653053220788634
DELL,0.025824928162897692
DAL,0.03667472608226599
DVN,0.045417751991761096
DXCM,0.03133815148716583
FANG,0.04735565135588737
DLR,0.02153402532004316
DFS,0.03654995119155177
DG,0.018045173590779742
DLTR,0.026211061017206008
D,0.019705505356576707
DPZ,0.021773519556308945
DOV,0.02129456268664664
DOW,0.02745557329164588
DHI,0.029493367963380254
DTE,0.0202079616980028
DUK,0.01796670048310856
DD,0.02458176653175837
EMN,0.025041779252042397
ETN,0.022638704685944273
EBAY,0.02306512594078616
ECL,0.022856309627889176
EIX,0.020580656755390177
EW,0.023461045428240894
EA,0.01867151246486306
ELV,0.024030377470431217
EMR,0.023573923505793962
ENPH,0.05119677102410791
ETR,0.020707007199323994
EOG,0.03633753348719039
EPAM,0.04124814411319394
EQT,0.0418153105195191
EFX,0.023273466999427776
EQIX,0.02163028311191972
EQR,0.02224003048563439
ERIE,0.02220238134701484
ESS,0.022433110938117645
EL,0.023528599441797308
EG,0.02270152282918754
EVRG,0.020994225728627514
ES,0.01993947484217441
EXC,0.021181165083799212
EXPE,0.03519538702012492
EXPD,0.018318874517472147
EXR,0.021064696080231197
XOM,0.025482163131535524
FFIV,0.02251765705520334
FDS,0.020906940057922076
FICO,0.029852219743142942
FAST,0.019096002668189286
FRT,0.027931477855519145
FDX,0.026759862747573488
FIS,0.026052099218889634
FITB,0.03207668623577667
FSLR,0.03345742694930704
FE,0.022757319190763323
FI,0.022443491113067655
FMC,0.023893155599230734
F,0.031019623776929135
FTNT,0.031032318048518647
FTV,0.021420906079733952
FOXA,0.024824492383269777
FOX,0.02400290575071164
BEN,0.027389698866105705
FCX,0.03737534840808269
GRMN,0.019576481916191137
IT,0.0246903720961402
GE,0.028753619551583152
GEHC,0.01867099866173982
GEN,0.021106432536799676
GNRC,0.036029149696075
GD,0.018210945951740165
GIS,0.015557581256927817
GM,0.03085394732464442
GPC,0.022340519035598572
GILD,0.01771345382120628
GPN,0.027365511030817375
GL,0.023089115231335052
GDDY,0.026614448972839492
GS,0.023651745631512514
HAL,0.043176341700878765
HIG,0.027655614972498972
HAS,0.025065765725592336
HCA,0.028723609258396454
DOC,0.02498918942524007
HSIC,0.020855896995040937
HSY,0.016670176270549054
HES,0.037385940811096925
HPE,0.02588993808037649
HLT,0.02540739057927859
HOLX,0.022285844069152634
HD,0.021137822359463425
HON,0.020010017360366027
HRL,0.015288578830791074
HST,0.03087275399071345
HWM,0.03293429401861271
HPQ,0.027660417991091597
HUBB,0.02158740470568622
HUM,0.023458340838352913
HBAN,0.029066434862379902
HII,0.021020707763879494
IBM,0.019223308368620406
IEX,0.018543689949083765
IDXX,0.023921227831326934
ITW,0.019094863439535658
INCY,0.021415731035405606
IR,0.024772845178621078
PODD,0.030329726104672806
INTC,0.026698924282534432
ICE,0.018476750694197037
IFF,0.021638965747309384
IP,0.023406021897744975
IPG,0.026506738398445053
INTU,0.026686040398872003
ISRG,0.02518250402944634
IVZ,0.034382657812006674
INVH,0.022484245811967868
IQV,0.0238785414326335
IRM,0.023456349932429062
JBHT,0.02171949269990714
JBL,0.02728537005750996
JKHY,0.01898371338093496
J,0.02077971619233381
JNJ,0.013715353185707645
JCI,0.02112023157693376
JPM,0.02380170768954482
JNPR,0.0196551919460601
K,0.015709718679666
KDP,0.01698247246800918
KEY,0.032663976198798704
KEYS,0.021792231439597624
KMB,0.015140342824675957
KIM,0.03142140720241408
KMI,0.02478145759249154
KKR,0.028022508667140917
KLAC,0.03173300964694569
KHC,0.01973704510509981
KR,0.02032713324571028
LHX,0.020041522383914635
LH,0.02325930096594043
LRCX,0.03406673689021939
LW,0.026550595791737554
LVS,0.03334343307100765
LDOS,0.02065318778859939
LEN,0.03217157984025572
LLY,0.021376773321053182
LIN,0.019084197214780704
LYV,0.03436939077177844
LKQ,0.028645367600231782
LMT,0.01927930071737071
L,0.02445769035408869
LOW,0.024330839414418916
LULU,0.02844613171778009
LYB,0.03093279321374123
MTB,0.028917926826279826
MRO,0.04630807293484673
MPC,0.03549786459195182
MKTX,0.024786187845948843
MAR,0.02988276044396446
MMC,0.017307806227081318
MLM,0.025466039719735496
MAS,0.021603378679047186
MA,0.023621133001865118
MTCH,0.03424976940251828
MKC,0.017882924339496346
MCD,0.017160032414488106
MCK,0.020224695630921028
MDT,0.01922186480244473
MRK,0.01613892055153158
META,0.03154742765614726
MET,0.025733293654376734
MTD,0.021740518379752057
MGM,0.042006153345158476
MCHP,0.031174317859816433
MU,0.030865352685829437
MSFT,0.021907489413502932
MAA,0.020868844637915406
MRNA,0.053264111356521975
MHK,0.03442552569673389
MOH,0.02482334777444616
TAP,0.022627660426253585
MDLZ,0.015561937910012378
MPWR,0.03484825103348403
MNST,0.018541344494612526
MCO,0.023426654790420578
MS,0.025651059385764705
MOS,0.038358303674491015
MSI,0.020754536481381765
MSCI,0.02573096732250531
NDAQ,0.019681103879060618
NTAP,0.02517458451401586
NFLX,0.03399818025911989
NEM,0.023886912570672592
NWSA,0.024385122481016038
NWS,0.024870553091676715
NEE,0.020501384523590956
NKE,0.0237461344606362
NI,0.01997025826333697
NDSN,0.022277456811683964
NSC,0.021909902021645278
NTRS,0.02466208690577672
NOC,0.01970157610952121
NCLH,0.05937526605617868
NRG,0.02606934188536571
NUE,0.02918492005194134
NVDA,0.035248872897999536
NVR,0.02730281512722395
NXPI,0.031015622907654097
ORLY,0.020257167206468685
OXY,0.05205305636089548
ODFL,0.023361644022182815
OMC,0.02309023360201082
ON,0.03973250934576596
OKE,0.039735210174571024
ORCL,0.021018051371824158
OTIS,0.018686790879532757
PCAR,0.018441954111791475
PKG,0.02111023580455501
PLTR,0.04705960047701389
PANW,0.02682859021524058
PARA,0.040112341878419215
PH,0.026436159015966784
PAYX,0.021699032370191405
PAYC,0.03340685856276724
PYPL,0.0319037480534954
PNR,0.023247386231948344
PEP,0.01602846578156857
PFE,0.018786228322412817
PCG,0.032345102743459996
PM,0.0181737631124333
PSX,0.03179885000322859
PNW,0.020266126902019045
PNC,0.025551548414066448
POOL,0.02556165937790708
PPG,0.022166252120711043
PPL,0.020026654281906094
PFG,0.028301408997491114
PG,0.015166410814632969
PGR,0.017906371375389248
PLD,0.022228650568669364
PRU,0.028549990048483614
PEG,0.01841813440537509
PTC,0.025721967864984933
PSA,0.018362420776642015
PHM,0.031417822366606354
QRVO,0.030119602465404717
PWR,0.025511492194206262
QCOM,0.0284664792575553
DGX,0.019221253671161793
RL,0.030856647445492
RJF,0.02579218104782765
RTX,0.024412237335255976
O,0.024407885033667608
REG,0.028558950792935075
REGN,0.021825062961764286
RF,0.031249614456434843
RSG,0.016431028825782342
RMD,0.023399454642988645
RVTY,0.022037343517106726
ROK,0.023958771510000563
ROL,0.020031074318469844
ROP,0.019031943647707723
ROST,0.029057925454858934
RCL,0.05147886478160224
SPGI,0.02173648312318103
CRM,0.027578468732415796
SBAC,0.0209615721046396
SLB,0.03707846217980072
STX,0.026258794698871407
SRE,0.02069509850206937
NOW,0.030077474687736
SHW,0.02142191592080673
SPG,0.03754081979109466
SWKS,0.02894288914222331
SJM,0.016575484846540107
SNA,0.022122916563067384
SO,0.01943508472040816
LUV,0.02916056859319513
SWK,0.02906810792017185
SBUX,0.02259290151941322
STT,0.028189158144635143
STLD,0.03126730426926865
STE,0.020117111549021564
SYK,0.02257880645514023
SMCI,0.034841202078392974
SYF,0.03428606486371399
SNPS,0.024568140215931192
SYY,0.029092048933711683
TMUS,0.020200368989967295
TROW,0.025010902547248335
TTWO,0.024759852493987416
TPR,0.03774535717506183
TRGP,0.05086460394726714
TGT,0.023855470680343643
TEL,0.023065364296569094
TDY,0.023663049015268795
TFX,0.02310144753449112
TER,0.031565318613879845
TSLA,0.0454582720762394
TXN,0.021775411419766893
TXT,0.02941177236623267
TMO,0.019878894967656918
TJX,0.02424261176929173
TSCO,0.02152427474842221
TT,0.021479844993311455
TDG,0.030666519311977863
TRV,0.021400920609167935
TRMB,0.02722356093207038
TFC,0.028857635842527946
TYL,0.02236052035047247
TSN,0.02175617443156434
USB,0.025616574423294482
UBER,0.038993938193532564
UDR,0.022536967039352148
ULTA,0.029541178679141033
UNP,0.019572939295048372
UAL,0.04593676805868617
UPS,0.020733972422321886
URI,0.0317383309159602
UNH,0.020864751432006445
UHS,0.029649962803520745
VLO,0.035773350639819596
VTR,0.03487339444286659
VRSN,0.02058472698125935
VRSK,0.019178487978617105
VZ,0.01319480878280551
VRTX,0.022754516231688622
VTRS,0.026072788032613634
VICI,0.02737713593023859
V,0.02103636674089816
VST,0.027500752762594845
VMC,0.02451688276399811
WRB,0.021461726572181532
GWW,0.020320115795094292
WAB,0.025302164575292555
WBA,0.02309379243517874
WMT,0.016198851333290385
DIS,0.024077706125446283
WBD,0.03600341160904407
WM,0.016073443181292526
WAT,0.02077453502041884
WEC,0.01923094511688468
WFC,0.02834449913984779
WELL,0.030917973210633744
WST,0.022890630675700803
WDC,0.03444774331048451
WY,0.02956295105181044
WMB,0.027143476896041605
WTW,0.019595484783821178
WYNN,0.04075205824222887
XEL,0.017928976397354912
XYL,0.022523996100875292
YUM,0.01915918179401473
ZBRA,0.026925972888551412
ZBH,0.023015686035206186
ZTS,0.01989177051129134
